subtab_id,tab_id,title,desc
1,1,Plantations,"Tree planting density and tree spacing, soil depth and tree position accross zone  "
2,1,Crop Parameters,Crop Parameters
3,1,Tree Parameters,Tree Parameters
4,2,Soil Water,
5,2,Soil Nutrient,
6,2,Soil Surface,
7,2,Roots,
8,2,SOM,
9,3,Rainfall,
10,3,Temperature,
11,3,Light Capture,
12,4,Crop Management,Crop planting schedule/cropping calendar
13,4,Tree Management,Tree planting and management schedule
14,4,Slash & Burn,"The table below contains default values for the slashing schedule and parameters for the impacts of a burning event, depending on the surface temperature during the burn.  Values shown in blue font are default values.  "
15,4,Pest & Diseases,
16,4,Maintenance Respiration,
17,5,Profitability,Profitability
